StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q2- Text,Q3- Define CE,Q4-CESA_1,Q4-CESA_2,Q4-CESA_3,Q4-CESA_4,Q4-CESA_5,Q4-CESA_6,Q4-CESA_7,Q4-CESA_8,Q4-CESA_9,Q4-CESA_10,Q6,Q6_4_TEXT,Q7-ESP1,Q7a-ESP1,Q8-ESP2_1,Q8-ESP2_2,Q8-ESP2_3,Q8-ESP2_4,Q8-ESP2_5,Q8-ESP2_6,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q9-ESP3_1,Q9-ESP3_2,Q9-ESP3_3,Q10-M1,Q11-M3,Q11-M3a,Q12-M4_1,Q12-M4_2,Q12-M4_3,Q12-M4_4,Q12-M4_5,Q12-M4_6,Q12-M4_7,Q12-M4_8,Q12-M4_9,Q13-M5,Q14-M6,Q14-M6a,Q14-M6b,Q15-M7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q17,Q34,Q35,Q36,Q18,Q19,Q20,Q21,Q22,Q32,Q23,Q24,Q44
2023-04-03 12:48:08,2023-04-03 12:54:11,IP Address,104.28.133.199,100,363,True,2023-04-03 12:54:13,R_2CrheSTc9GVjX5K,,,,,38.894,-77.0365,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Participating in research with community members",Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,The Chestertown or local community,,Yes,4 to 8 hours per month,Not really important,Very Important,Important,Not really important,Very Important,Important,Sometimes/Occasionally,Often,Sometimes/Occasionally,Sometimes/Occasionally,Often,Never,No,No,Yes,"Reposting information regarding current events to your story/page/etc.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.",Yes,Connected,Positive Impact,No impact,Positive Impact,No impact,Positive Impact,No impact,No impact,Negative Impact,No impact,Yes,No,,,No,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Yes,Yes,I don't know,Yes,I am more engaged than the average WAC student,2026,History/Political Science,No,Yes,Yes,Male,European American or White,
2023-04-03 14:01:23,2023-04-03 14:06:05,IP Address,76.78.85.40,100,281,True,2023-04-03 14:06:06,R_afR5fsH1ucVEV3j,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Volunteering or doing community service,Protesting or rallying",Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Your home community,,Yes,Less than 4 hours per month,Very Important,Important,Important,Important,Very Important,Important,Sometimes/Occasionally,Often,Often,Often,Often,Sometimes/Occasionally,Yes,No,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",No,,Negative Impact,Positive Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,Yes,"The Elm,Kent County News",Connected,Yes,Neutral,Disagree,Strongly Disagree,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,No,Yes,No,No,I am more engaged than the average WAC student,2025,Political Science,No,No,Yes,Male,European American or White,
2023-04-03 15:15:58,2023-04-03 15:21:32,IP Address,76.78.85.98,100,333,True,2023-04-03 15:21:33,R_3sgcOqvMkDmDYvH,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Teaching or mentorship,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Your home community,,No,,Important,Important,Very Important,Important,Very Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Never,Never,Never,Sometimes/Occasionally,Yes,Yes,No,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.",Yes,Neither connected or disconnected,Positive Impact,Positive Impact,Positive Impact,No impact,No impact,No impact,No impact,No impact,No impact,No,No,,,Yes,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,Yes,I don't know,I don't know,I am less engaged than the average WAC student,2025,Psychology and Sociology,Yes,No,Yes,Female,European American or White,
2023-04-03 16:09:33,2023-04-03 16:36:18,IP Address,76.78.85.75,100,1605,True,2023-04-03 16:36:19,R_3maDRxJUctQpeZM,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Making donations to charities,Volunteering or doing community service,Attending community arts and culture events",Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhere else (please specify),All these about equally,No,,Important,Important,Important,Very Important,Very Important,Not really important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Often,Never,No,Yes,No,,Yes,Very connected,Positive Impact,Positive Impact,No impact,No impact,No impact,No impact,,No impact,,Yes,Yes,The Elm,Neither connected nor disconnected,No,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,No,Yes,I don't know,I don't know,I am as engaged as the average WAC student,2025,Environmental Science,No,No,Yes,,,
2023-04-04 06:27:09,2023-04-04 06:37:07,IP Address,76.78.85.13,100,597,True,2023-04-04 06:37:07,R_3ltZYelKQVYeeZ1,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Protesting or rallying,Activism or awareness raising activities,Participating in research with community members",Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,The Washington College community,,No,,Not really important,Important,Important,Not really important,Important,Not really important,Never,Sometimes/Occasionally,Sometimes/Occasionally,Never,Sometimes/Occasionally,Never,No,Yes,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",Yes,Neither connected or disconnected,Positive Impact,No impact,No impact,Positive Impact,Positive Impact,Positive Impact,,Negative Impact,No impact,Yes,No,,,Yes,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,No,Yes,I don't know,I don't know,I am less engaged than the average WAC student,2026,art and art history,No,No,Yes,"Genderqueer, genderfluid, or non-binary",Hispanic/Latinx,
2023-04-04 06:31:05,2023-04-04 06:37:26,IP Address,76.78.85.97,100,381,True,2023-04-04 06:37:27,R_UKNVoLFU8U74KXL,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Making donations to charities,Contributing to community businesses with a social cause",Neither agree nor disagree,Agree,Somewhat disagree,Somewhat agree,Disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Somewhat agree,The Chestertown or local community,,Yes,Less than 4 hours per month,Not really important,Important,Important,Very Important,Very Important,Not really important,Never,Sometimes/Occasionally,Never,Often,Often,Never,Yes,No,Yes,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.",Yes,Connected,No impact,No impact,Positive Impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Yes,Yes,The Elm,Neither connected nor disconnected,Yes,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,No,Yes,I don't know,I don't know,I am as engaged as the average WAC student,2023,"American Studies and Anthropology ",No,No,No,Female,European American or White,
2023-04-04 06:27:33,2023-04-04 07:44:42,IP Address,209.243.32.181,100,4629,True,2023-04-04 07:44:43,R_PHSlhR4mL3hmhLr,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Fundraising,Activism or awareness raising activities,Attending community arts and culture events",Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Agree,Your home community,,Yes,Less than 4 hours per month,Important,Important,Important,Important,Important,Important,Never,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Often,Sometimes/Occasionally,Yes,Yes,No,"Following accounts/pages that post about current events.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Liking posts regarding current events.",Yes,Very connected,,,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Yes,Yes,The Elm,Connected,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,Yes,Yes,I am as engaged as the average WAC student,2024,Anthropology,No,No,Yes,"Genderqueer, genderfluid, or non-binary",European American or White,
2023-04-04 08:28:30,2023-04-04 08:48:13,IP Address,76.78.85.49,100,1182,True,2023-04-04 08:48:15,R_27EbdpMOqKMkBZV,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Your home community,,Yes,Less than 4 hours per month,Important,Very Important,Very Important,Important,Very Important,Important,Never,Often,Sometimes/Occasionally,Often,Often,Never,No,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",No,,Positive Impact,Positive Impact,Negative Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Negative Impact,Positive Impact,Yes,No,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Yes,No,No,I am as engaged as the average WAC student,2026,Human Development,Yes,No,No,Female,European American or White,
2023-03-30 13:12:01,2023-04-04 10:21:00,IP Address,174.216.152.120,100,421738,True,2023-04-04 10:21:01,R_WBhqi0uQfXyC28V,,,,,39.3248,-76.6062,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members",Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Your home community,,No,,Important,Important,Important,Important,Important,Important,Never,Sometimes/Occasionally,Never,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Yes,Yes,No,"Following accounts/pages that post about current events.,Following elected officials or other representatives on social media.",No,,Positive Impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,Yes,The Elm,Connected,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,No,No,I am less engaged than the average WAC student,2024,Biology,Yes,No,No,Female,European American or White,
2023-04-04 10:28:12,2023-04-04 10:33:55,IP Address,76.78.85.94,100,342,True,2023-04-04 10:33:55,R_1myo5FzXc30d6Cq,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Political engagement,Talking with people in the community,Volunteering or doing community service,Activism or awareness raising activities,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhere else (please specify),All of the above,Yes,8 to 12 hours per month,Important,Very Important,Important,Not really important,Important,Important,Never,Often,Never,Sometimes/Occasionally,Often,Never,Yes,Yes,Yes,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.",No,,,,,,,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,No,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes,Yes,Yes,No,I am more engaged than the average WAC student,2024,"Biology and Environmental Science ",No,No,Yes,Female,European American or White,
2023-04-04 11:09:17,2023-04-04 11:15:46,IP Address,76.78.85.64,100,389,True,2023-04-04 11:15:47,R_ZyjtjaBLk0ugRwd,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Volunteering or doing community service,Activism or awareness raising activities,Participating in research with community members",Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Your home community,,Yes,4 to 8 hours per month,Not really important,Important,Important,Very Important,Very Important,Not really important,Never,Often,Sometimes/Occasionally,Often,Sometimes/Occasionally,Never,Yes,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",Yes,Neither connected or disconnected,No impact,Positive Impact,Positive Impact,Positive Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Yes,No,,,Yes,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Disagree,No,Yes,No,Yes,I am less engaged than the average WAC student,2023,"Environmental Studies ",Yes,No,No,Female,"European American or White,Hispanic/Latinx",
2023-04-04 12:40:09,2023-04-04 12:45:57,IP Address,76.78.85.86,100,348,True,2023-04-04 12:45:58,R_1pm5L90jaHVOsBg,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,The Chestertown or local community,,Yes,Less than 4 hours per month,Not really important,Important,Important,Important,Important,Important,Never,Sometimes/Occasionally,Never,Never,Sometimes/Occasionally,Sometimes/Occasionally,Yes,Yes,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",Yes,Neither connected or disconnected,Positive Impact,No impact,Negative Impact,No impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,Yes,Neutral,Disagree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,No,Yes,No,No,I am as engaged as the average WAC student,2024,history,No,No,Yes,Female,European American or White,
2023-04-04 12:56:21,2023-04-04 13:05:14,IP Address,38.91.43.210,100,533,True,2023-04-04 13:05:15,R_1jOkWRfHjsY93nn,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Activism or awareness raising activities",Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Agree,The Chestertown or local community,,No,,Important,Important,Important,Not really important,Very Important,Important,Sometimes/Occasionally,Never,Never,Never,Sometimes/Occasionally,Never,Yes,Yes,No,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.",No,,,,,,,,,,,No,No,,,Yes,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Yes,Yes,I don't know,I don't know,I am less engaged than the average WAC student,2023,Human Development,Yes,No,No,Female,European American or White,
2023-04-04 13:46:22,2023-04-04 13:51:50,IP Address,76.78.85.94,100,327,True,2023-04-04 13:51:51,R_2SJNAxkyxr5qvUC,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Making donations to charities,Volunteering or doing community service,Attending community arts and culture events",Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Your home community,,No,,Not really important,Important,Important,Important,Very Important,Important,Never,Never,Never,Often,Often,Sometimes/Occasionally,Yes,Yes,No,"Reposting information regarding current events to your story/page/etc.,Signing online petitions.",No,,No impact,Positive Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,Yes,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Yes,Yes,No,Yes,I am as engaged as the average WAC student,2024,psychology,Yes,No,Yes,Female,European American or White,
2023-04-04 13:51:28,2023-04-04 13:53:54,IP Address,209.243.32.182,100,146,True,2023-04-04 13:53:55,R_32Lw8hwOPqr9Yms,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Your home community,,Yes,Less than 4 hours per month,Important,Important,Important,Important,Important,Important,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Yes,No,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",No,,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,Positive Impact,No,No,,,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,I don't know,I don't know,I don't know,I am much less engaged than the average WAC student,2023,Business,Yes,No,Yes,Male,European American or White,
2023-03-28 14:38:47,2023-03-28 14:54:40,IP Address,76.78.85.62,10,953,False,2023-04-04 14:54:42,R_27DbFYBPTiZhfwJ,,,,,,,anonymous,EN,,,"Voting,Political engagement,Talking with people in the community,Protesting or rallying",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-04 14:51:29,2023-04-04 14:55:53,IP Address,67.162.229.113,100,263,True,2023-04-04 14:55:53,R_3qOqsbfkDcdieuq,,,,,38.8593,-75.8363,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service",Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,The Chestertown or local community,,No,,Not really important,Important,Not really important,Not really important,Important,Important,Never,Sometimes/Occasionally,Never,Never,Sometimes/Occasionally,Often,No,No,Yes,,No,,Negative Impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No impact,Negative Impact,Negative Impact,Negative Impact,Yes,No,,,No,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No,Yes,I don't know,Yes,I am much less engaged than the average WAC student,2025,"Human developmental ",No,No,No,Female,European American or White,
2023-03-29 06:55:27,2023-03-29 06:56:57,IP Address,76.78.85.65,21,90,False,2023-04-05 06:57:01,R_21zcJQV8aXILCCZ,,,,,,,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Attending community arts and culture events",Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Your home community,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29 08:34:57,2023-03-29 08:41:06,IP Address,209.243.32.181,55,368,False,2023-04-05 08:41:09,R_8dzavRyFLDemu1X,,,,,,,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Volunteering or doing community service,Activism or awareness raising activities",Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,The Chestertown or local community,,No,,Important,Important,Important,Important,Very Important,Important,Never,Sometimes/Occasionally,Never,Often,Sometimes/Occasionally,Never,Yes,No,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",Yes,Neither connected or disconnected,Positive Impact,Positive Impact,No impact,No impact,No impact,No impact,No impact,Negative Impact,No impact,No,No,,,Yes,,,,,,,,,,,,,,,,,,,,,
2023-04-05 08:46:31,2023-04-05 08:53:45,IP Address,76.78.85.31,100,434,True,2023-04-05 08:53:47,R_SBhgdN59xDSMRwJ,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Your home community,,Yes,8 to 12 hours per month,Important,Important,Not really important,Very Important,Very Important,Important,Sometimes/Occasionally,Often,Never,Often,Often,Often,No,No,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.",Yes,Connected,Positive Impact,Positive Impact,Negative Impact,Positive Impact,Negative Impact,No impact,No impact,Negative Impact,No impact,No,No,,,Yes,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,No,Yes,No,I don't know,I am as engaged as the average WAC student,2026,English,Yes,No,Yes,Female,European American or White,
2023-03-29 08:54:54,2023-03-29 09:00:27,IP Address,76.78.85.62,55,332,False,2023-04-05 09:00:31,R_3r1jLpt2iDBUIS9,,,,,,,anonymous,EN,Yes (continue to survey),,"Voting,Talking with people in the community,Making donations to charities,Volunteering or doing community service,Service-learning experiences with a class,Contributing to community businesses with a social cause",Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Your home community,,Yes,Less than 4 hours per month,Not really important,Important,Not really important,Not really important,Important,Important,Never,Never,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,Sometimes/Occasionally,No,No,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",No,,Negative Impact,No impact,Negative Impact,Negative Impact,No impact,Negative Impact,Negative Impact,Negative Impact,Negative Impact,No,No,,,Yes,,,,,,,,,,,,,,,,,,,,,
2023-04-05 09:48:54,2023-04-05 09:53:20,IP Address,76.78.85.24,100,266,True,2023-04-05 09:53:21,R_22E1nZJC7k47fyJ,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Activism or awareness raising activities",Somewhat agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Your home community,,No,,Not at all important,Not really important,Important,Important,Very Important,Not really important,Sometimes/Occasionally,Never,Sometimes/Occasionally,Sometimes/Occasionally,Often,Never,No,Yes,Yes,"Following accounts/pages that post about current events.,Signing online petitions.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.",No,,,,,,,,,,,No,Yes,The Elm,Neither connected nor disconnected,Yes,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,No,Yes,I don't know,I don't know,I am more engaged than the average WAC student,2024,American Studies,No,No,Yes,Female,European American or White,
2023-03-29 10:47:14,2023-03-29 10:51:12,IP Address,76.78.85.49,34,237,False,2023-04-05 10:51:18,R_W2kUBl0MMpmjWwN,,,,,,,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Talking with people in the community,Teaching or mentorship,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities,Attending community arts and culture events,Participating in research with community members,Service-learning experiences with a class,Contributing to community businesses with a social cause",Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,The Chestertown or local community,,Yes,4 to 8 hours per month,Important,Important,Very Important,Very Important,Very Important,Important,Sometimes/Occasionally,Often,Often,Often,Often,Sometimes/Occasionally,No,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Posting your own opinions regarding current events.,Debating opinions or ideas with others with whom you disagree.,Following elected officials or other representatives on social media.,Liking posts regarding current events.",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-05 10:56:04,2023-04-05 11:00:45,IP Address,76.78.85.85,100,280,True,2023-04-05 11:00:46,R_2YDjVmQg5YlfRWi,,,,,39.2147,-76.0795,anonymous,EN,Yes (continue to survey),,"Talking with people in the community,Fundraising,Volunteering or doing community service,Activism or awareness raising activities,Attending community arts and culture events,Contributing to community businesses with a social cause",Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,The Washington College community,,No,,Important,Important,Important,Important,Very Important,Important,Sometimes/Occasionally,Never,Never,Never,Often,Sometimes/Occasionally,No,No,No,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.,Following elected officials or other representatives on social media.",No,,,,,,,,,,,No,Yes,The Elm,Connected,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Yes,I don't know,Yes,I am as engaged as the average WAC student,2023,American Studies,Yes,No,Yes,Female,European American or White,
2023-03-29 06:32:36,2023-03-29 06:32:52,IP Address,76.78.85.57,5,15,False,2023-04-05 11:08:09,R_1g8srwz3WU0Zfur,,,,,,,anonymous,EN,Yes (continue to survey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-29 13:47:26,2023-03-29 13:56:45,IP Address,174.206.33.181,74,559,False,2023-04-05 13:56:53,R_ZqRiH66nfh2SEX7,,,,,,,anonymous,EN,Yes (continue to survey),,"Voting,Political engagement,Fundraising,Making donations to charities,Volunteering or doing community service,Protesting or rallying,Activism or awareness raising activities",Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Your home community,,No,,Important,Important,Very Important,Important,Very Important,Important,Never,Never,Never,Sometimes/Occasionally,Often,Often,No,Yes,Yes,"Following accounts/pages that post about current events.,Reposting information regarding current events to your story/page/etc.,Signing online petitions.",Yes,Connected,Positive Impact,No impact,Negative Impact,Positive Impact,Positive Impact,Negative Impact,Positive Impact,Negative Impact,Positive Impact,No,No,,,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Yes,Yes,I don't know,I don't know,,,,,,,,,
2023-03-30 04:52:30,2023-03-30 05:04:19,IP Address,76.78.85.67,11,709,False,2023-04-06 05:04:20,R_1CfLeNsD4ZFAY4w,,,,,,,anonymous,EN,Yes (continue to survey),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
